group_feature,lower,upper,rows_clipped,low_q,high_q
bipolar:facial_emotional_range__mean,0.008166980991989812,0.02618325,150,0.005,0.995
bipolar:facial_emotional_range__std,0.0,0.00588417021610101,150,0.005,0.995
bipolar:facial_emotional_range__min,0.00709697,0.02618325,122,0.005,0.995
bipolar:facial_emotional_range__max,0.00995474,0.02618325,130,0.005,0.995
bipolar:facial_emotional_range__range,0.0,0.01579733,143,0.005,0.995
bipolar:facial_emotional_range__slope,-0.004570897084160049,0.003229507899106596,600,0.01,0.99
bipolar:facial_transition_frequency__mean,0.09700679982904624,0.6445392518027653,300,0.005,0.995
bipolar:facial_transition_frequency__std,2.797499069501051e-17,0.16800886633649298,290,0.005,0.995
bipolar:facial_transition_frequency__min,0.0,0.6,0,0.005,0.995
bipolar:facial_transition_frequency__max,0.2,0.7,131,0.005,0.995
bipolar:facial_transition_frequency__range,0.0,0.5,15,0.005,0.995
bipolar:facial_transition_frequency__slope,-0.07457843780882975,0.0799121885513107,600,0.01,0.99
bipolar:near_zero_au_activation_ratio__mean,0.9338669839883837,0.9934073199669659,300,0.005,0.995
bipolar:near_zero_au_activation_ratio__std,2.238968481936314e-16,0.01607648932709536,300,0.005,0.995
bipolar:near_zero_au_activation_ratio__min,0.91271259,0.98996656,150,0.005,0.995
bipolar:near_zero_au_activation_ratio__max,0.93979933,0.99665552,92,0.005,0.995
bipolar:near_zero_au_activation_ratio__range,0.0,0.06354515,134,0.005,0.995
bipolar:near_zero_au_activation_ratio__slope,-0.008318634828234604,0.008947262912484944,600,0.01,0.99
bipolar:mean_head_velocity__mean,0.05306310819605096,0.13819756002277553,300,0.005,0.995
bipolar:mean_head_velocity__std,0.0008367953727239186,0.015457916793132182,300,0.005,0.995
bipolar:mean_head_velocity__min,0.05002709,0.12723500965090614,200,0.005,0.995
bipolar:mean_head_velocity__max,0.05584575,0.14780085,70,0.005,0.995
bipolar:mean_head_velocity__range,0.0,0.04591072229999991,150,0.005,0.995
bipolar:mean_head_velocity__slope,-0.009662693400166187,0.009320396054274155,600,0.01,0.99
bipolar:head_velocity_peak__mean,0.22877836,3.168016080000001,120,0.005,0.995
bipolar:head_velocity_peak__std,0.0,1.3268549212148448,150,0.005,0.995
