,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_count,missing_ratio,zero_ratio,n_unique,iqr
extended_silence_ratio__slope,180000.0,0.0006845309832805466,0.00923049750276281,-0.0323354141962152,-0.008337260708901742,-0.0014444546838954897,0.0,0.0034063498185975117,0.015111390148638871,0.4497912156912784,0,0.0,0.36220555555555556,112813,
extended_silence_ratio__std,180000.0,0.17296715031260462,0.17018932822772892,0.0,0.0,0.0,0.2964001301522521,0.3598338574947649,0.37030080396075116,0.4960803353165882,0,0.0,0.36193888888888887,108843,
eye_contact_ratio__max,180000.0,0.6927532616711679,0.26807048002537875,0.1925137163830995,0.2176246940739602,0.240896430093872,0.8499691348123497,0.9501593412511736,0.9597473346712392,0.9597473346712392,0,0.0,0.0,37147,
eye_contact_ratio__mean,180000.0,0.6191170719296721,0.3109324128760763,0.1055494907079201,0.1193204443554249,0.12321503955134006,0.8199606836125644,0.8898260766878171,0.9048122311898831,0.930523759394787,0,0.0,0.0,177997,
eye_contact_ratio__min,180000.0,0.5497373262288184,0.3530323894564563,0.0,0.0,0.0,0.7239035385362577,0.8755656649182836,0.89326499,0.9279041204621984,0,0.0,0.14784444444444444,37898,
eye_contact_ratio__range,180000.0,0.14301593544234942,0.11406345089396747,0.0,0.0,0.005483237540714351,0.1527343311535728,0.2959202541215713,0.3133994382076919,0.3133994382076919,0,0.0,0.03037222222222222,70371,
eye_contact_ratio__slope,180000.0,2.2855192222273926e-05,0.006140955501352174,-0.0491958886428915,-0.02045287703384936,-0.00907793158287784,-9.091859975797852e-06,0.009130167115848794,0.018304496152928836,0.0474753770661983,0,0.0,0.0,178011,
eye_contact_ratio__std,180000.0,0.029341448161989248,0.020552901969193498,0.0004341488364101,0.001513168276864653,0.0029549767851351503,0.039990132304587894,0.05371870682370287,0.05658205788204927,0.0702639026669633,0,0.0,0.0,177999,
facial_emotional_range__max,180000.0,0.01618395846540549,0.0077338653025530784,0.0023994890487986,0.0033339108725035,0.0036177816802466,0.01700155,0.0252947545397953,0.027845680085890823,0.03425897,0,0.0,0.0,11774,
facial_emotional_range__mean,180000.0,0.011542416489427195,0.005895635811143244,0.0008996879491986,0.001067759652684191,0.001117142090278065,0.013724251010949751,0.019966107768104504,0.025542250346913174,0.03425897,0,0.0,0.0,166355,
facial_emotional_range__min,180000.0,0.007102726999657453,0.005847485873068851,0.0,0.0,0.0,0.0059345252973001,0.01787811,0.02267338,0.03425897,0,0.0,0.16666666666666666,13420,
facial_emotional_range__range,180000.0,0.009081231465748017,0.007887272502468626,0.0,0.0,0.0,0.00486456,0.0217312879653936,0.0224954156019742,0.0296108,0,0.0,0.08631666666666667,35649,
facial_emotional_range__slope,180000.0,-1.6195385055142004e-05,0.0008969120811763211,-0.0153643105775769,-0.003112929646959599,-0.00116674185543258,0.0,0.0010105186188535448,0.002624087796279141,0.0221720391976501,0,0.0,0.02535,173436,
facial_emotional_range__std,180000.0,0.0020442982495388427,0.0016815515871124714,0.0,0.0,3.48323707360012e-18,0.00125416809890395,0.00405785607330004,0.005465511122162217,0.0127260901517565,0,0.0,0.024916666666666667,170768,
facial_transition_frequency__max,180000.0,0.5104880352185064,0.22520986533585724,0.0,0.0,0.1,0.5,0.7823087794376865,0.8289767774054502,0.8289767774054502,0,0.0,0.026194444444444444,1586,
facial_transition_frequency__mean,180000.0,0.2865330070047996,0.14100458689438627,0.0,0.0,0.05613614023523169,0.33456097135697127,0.5314551957217015,0.6352808445160371,0.7501834673403772,0,0.0,0.028055555555555556,162942,
facial_transition_frequency__min,180000.0,0.10911777673559837,0.1558045015375214,0.0,0.0,0.0,0.0,0.4037033449863499,0.6,0.7,0,0.0,0.5399388888888889,1093,
facial_transition_frequency__range,180000.0,0.401370258482908,0.2816656234459526,0.0,0.0,0.0,0.3999999999999999,0.7823087794376865,0.8289767774054502,0.8289767774054502,0,0.0,0.08681111111111112,2756,
facial_transition_frequency__slope,180000.0,0.0002740089419918267,0.022396930388197688,-0.1233312822415608,-0.06677512089354655,-0.03944601684601344,-8.703149951655301e-24,0.04262345955798718,0.06935309915051874,0.109676032455154,0,0.0,0.03242222222222222,172132,
facial_transition_frequency__std,180000.0,0.09687503962108072,0.05657602707035017,0.0,0.0,2.80840553998428e-17,0.10174736961197665,0.175346095115424,0.1851262710816442,0.1991242013356145,0,0.0,0.032516666666666666,167773,
gaze_shift_frequency__max,180000.0,1.541206956506989,0.7185523172826954,0.1262730979401189,0.7,1.0,1.0,2.84,3.0,3.1,0,0.0,0.0,2540,
gaze_shift_frequency__mean,180000.0,1.443812271256809,0.6641143738566807,0.0813512891984387,0.5717721176341981,0.9079796546290102,1.0,2.7128373278750595,2.861920618071336,3.035365906744156,0,0.0,0.0,100176,
gaze_shift_frequency__min,180000.0,1.3157040552011858,0.6496153349526982,0.0,0.4,0.6,1.0,2.6,2.76,3.0,0,0.0,0.0005722222222222222,2935,
gaze_shift_frequency__range,180000.0,0.22550290130580342,0.24374154259334685,0.0,0.0,0.0,0.1999999999999997,0.7,0.9585938003441112,1.90051975048458,0,0.0,0.3744277777777778,5124,
gaze_shift_frequency__slope,180000.0,0.003943171032679612,0.0547821254950442,-0.2879467927770013,-0.16128988231346944,-0.08523040231472694,0.0,0.1014701408880951,0.17917812598109786,0.3099158008231968,0,0.0,0.3496111111111111,116384,
gaze_shift_frequency__std,180000.0,0.057827405667967784,0.07425359970415542,0.0,0.0,0.0,0.033482891726161645,0.2049974415819019,0.3347906301459508,0.6960686375826981,0,0.0,0.3491888888888889,101266,
gesture_frequency__max,180000.0,0.8936874324549232,0.4654008663265377,0.1611302767427744,0.1665669199316863,0.1765870965681235,1.0,1.6900527619843408,1.6951738617542504,1.6951738617542504,0,0.0,0.0,970,
gesture_frequency__mean,180000.0,0.830969757706195,0.43904862508880493,0.1404787160482998,0.1423547405661822,0.14338472842756342,0.9759762302262219,1.535404726112577,1.5426360901823977,1.5632195414347505,0,0.0,0.0,157558,
gesture_frequency__min,180000.0,0.7107872651757142,0.37878572056830484,0.0529647603826145,0.0976541095861904,0.1,0.9,1.2692016545462037,1.3220420348397568,1.3479256649198537,0,0.0,0.0,1453,
gesture_frequency__range,180000.0,0.18290016727920896,0.15574827824839482,0.0,0.0,0.0603633489726365,0.0999999999999999,0.5442955089804962,0.5600635949597357,0.9398417866036592,0,0.0,0.010327777777777778,3095,
gesture_frequency__slope,180000.0,0.0018951776874627701,0.015595123577156795,-0.0792208191589887,-0.04238989861496898,-0.007227447273981072,1.923581520462298e-06,0.01636992036378518,0.08960077882348215,0.112504147024804,0,0.0,0.0004388888888888889,177855,
gesture_frequency__std,180000.0,0.043241099000496275,0.0350493725013519,0.0,0.011253432394291028,0.01208033933768469,0.03117484379871615,0.09630105304948487,0.177603923529436,0.2584009982151744,0,0.0,0.00047222222222222224,172889,
head_motion_energy__max,180000.0,17.664027090855445,22.712739735700396,0.00817456,0.03003657,0.3928357138447191,6.95207708,69.38381701310627,69.46142745443254,189.8508290555183,0,0.0,0.0,34047,
head_motion_energy__mean,180000.0,5.651973847546389,5.50427120415851,0.0080614368671241,0.025889605763423276,0.14510451904780755,4.63684602410501,16.93048706479815,18.226398824150287,40.30630449674727,0,0.0,0.0,177987,
head_motion_energy__min,180000.0,1.2247442491650689,2.4399549498680995,0.0,0.0,0.0,0.003637925,6.854867770109423,10.14816224,18.953132381189214,0,0.0,0.5,31242,
head_motion_energy__range,180000.0,16.439282841690375,23.30377995587269,0.0,0.0,0.0,3.8743220531028433,69.38381701310627,69.46142745443254,182.85600416074857,0,0.0,0.07228333333333334,60210,
head_motion_energy__slope,180000.0,-0.021086317083290118,0.6980260600588032,-27.83418742198051,-2.3560623945864934,-0.9539318347805306,0.0001088519583391,0.8784893930138827,1.8694259083294928,7.862196551586798,0,0.0,0.0,177860,
